         name         | gender |    dob     
 ARIZONA              | F      | 1943-04-21
 ARIZONA              | F      | 1963-10-16
 ARIZONA              | F      | 1986-09-26
 ARIZONA              | F      | 1993-01-29
 ARIZONA              | F      | 1984-06-14
 ARIZONA              | F      | 1976-03-02
 ARIZONA              | F      | 1976-03-26
 ARIZONA              | M      | 1959-01-13
 ARIZONA              | F      | 1984-06-14
 ARIZONA              | M      | 1996-01-24
 ARIZONA              | M      | 1985-11-14
 ARIZONA              | M      | 1989-11-05
 ARIZONA              | M      | 1905-02-14
 ARIZONA              | M      | 1969-01-17
 ARIZONA              | M      | 1969-01-17
 ARIZONA              | M      | 1951-11-13
 ARIZONA              | F      | 1988-11-03
 ARIZONA              | M      | 1989-11-05
 ARIZONA              | F      | 1978-01-02
 ARIZONA              | F      | 1982-08-23
 ARIZONA              | F      | 1983-06-15
 ARIZONA              | F      | 1983-06-15
 ARIZONA              | M      | 1968-06-22
 ARIZONA              | M      | 1968-06-22
 ARIZONA              | F      | 1943-04-21
 ARIZONA              | F      | 1983-09-17
 ARIZONA              | F      | 1983-09-17
 ARIZONA              | F      | 1983-06-15
 ARIZONA              | F      | 1984-08-28
 ARIZONA              | F      | 1954-08-13
 ARIZONA              | F      | 1971-09-06
 ARIZONA              | F      | 1983-09-17
 ARIZONA              | M      | 1973-08-31
 ARIZONA              | M      | 1973-08-31
 ARIZONA              | F      | 1954-11-03
 ARIZONA              | F      | 1948-01-27
 ARIZONA              | F      | 1989-10-10
 ARIZONA              | F      | 1964-07-21
 ARIZONA              | F      | 1968-08-20
 ARIZONA              | F      | 1968-08-20
 ARIZONA              | F      | 1964-07-21
 ARIZONA              | F      | 1964-07-21
 ARIZONA              | M      | 1985-01-09
 ARIZONA              | M      | 1985-01-09
 ARIZONA              | F      | 1964-07-21
 ARIZONA              | F      | 1990-10-17
 ARIZONA              | F      | 1973-02-22
 ARIZONA              | F      | 1982-08-07
 ARIZONA              | F      | 1987-04-17
 ARIZONA              | F      | 1990-05-23
 ARIZONA              | F      | 1940-02-17
 ARIZONA              | F      | 1940-02-17
 ARIZONA              | F      | 1995-06-09
 ARIZONA              | F      | 1955-06-08
 ARIZONA              | M      | 1978-06-11
 ARKANSAS             | F      | 1969-02-14
 ARKANSAS             | M      | 1989-05-24
 ARKANSAS             | F      | 1994-07-20
 ARKANSAS             | F      | 1969-07-12
 ARKANSAS             | M      | 1958-03-17
 CALIFORNIA           | F      | 1957-09-11
 CALIFORNIA           | F      | 1953-03-09
 CALIFORNIA           | M      | 1910-07-17
 CALIFORNIA           | M      | 1910-07-17
 CALIFORNIA           | M      | 1986-11-09
 CALIFORNIA           | M      | 1986-11-09
 CALIFORNIA           | F      | 1938-03-12
 CALIFORNIA           | M      | 1982-10-10
 CALIFORNIA           | F      | 1951-10-24
 CALIFORNIA           | F      | 1938-03-12
 CALIFORNIA           | F      | 1964-09-13
 CALIFORNIA           | F      | 1995-01-02
 CALIFORNIA           | M      | 1967-01-01
 CALIFORNIA           | F      | 1976-01-14
 CALIFORNIA           | M      | 1959-08-19
 CALIFORNIA           | F      | 1943-02-07
 CALIFORNIA           | F      | 1951-04-05
 CALIFORNIA           | F      | 1957-09-11
 CALIFORNIA           | M      | 1959-08-19
 CALIFORNIA           | F      | 1961-11-08
 CALIFORNIA           | F      | 1985-09-16
 CALIFORNIA           | F      | 1979-07-13
 CALIFORNIA           | M      | 1979-11-29
 CALIFORNIA           | M      | 1974-08-25
 CALIFORNIA           | F      | 1976-10-20
 CALIFORNIA           | F      | 1905-05-15
 CALIFORNIA           | M      | 1969-04-29
 CALIFORNIA           | M      | 1957-05-22
 CALIFORNIA           | M      | 1973-08-31
 CALIFORNIA           | M      | 1973-08-31
 CALIFORNIA           | M      | 1959-08-19
 CALIFORNIA           | F      | 1990-10-30
 CALIFORNIA           | M      | 1969-04-29
 CALIFORNIA           | M      | 1967-08-28
 CALIFORNIA           | M      | 1957-05-22
 CALIFORNIA           | M      | 1969-01-17
 CALIFORNIA           | M      | 1994-07-29
 CALIFORNIA           | M      | 1994-07-29
 CALIFORNIA           | M      | 1957-10-30
 CALIFORNIA           | M      | 1969-01-17
 COLORADO             | F      | 1987-07-18
 COLORADO             | M      | 1988-11-14
 COLORADO             | F      | 1942-01-13
 COLORADO             | F      | 1974-10-01
 COLORADO             | F      | 1986-11-22
 COLORADO             | F      | 1979-02-20
 COLORADO             | M      | 1985-10-19
 COLORADO             | M      | 1985-10-19
 COLORADO             | M      | 1978-06-08
 COLORADO             | F      | 1986-04-30
 COLORADO             | F      | 1979-02-20
 COLORADO             | M      | 1991-11-11
 COLORADO             | M      | 1985-11-13
 COLORADO             | F      | 1983-12-30
 COLORADO             | F      | 1980-03-12
 COLORADO             | F      | 1961-11-08
 COLORADO             | M      | 1959-08-19
 COLORADO             | F      | 1989-11-12
 COLORADO             | F      | 1952-08-31
 COLORADO             | M      | 1985-01-01
 COLORADO             | F      | 1992-12-08
 COLORADO             | F      | 1970-05-13
 COLORADO             | F      | 1957-01-19
 COLORADO             | F      | 1957-01-19
 COLORADO             | M      | 1954-04-21
 COLORADO             | M      | 1995-09-15
 COLORADO             | M      | 1995-09-15
 COLORADO             | F      | 1969-07-24
 COLORADO             | F      | 1969-07-24
 COLORADO             | M      | 1965-12-27
 COLORADO             | M      | 1985-01-01
 COLORADO             | F      | 1967-12-18
 COLORADO             | F      | 1975-09-18
 COLORADO             | F      | 1979-11-10
 COLORADO             | M      | 1983-05-13
 COLORADO             | M      | 1965-12-27
 COLORADO             | M      | 1988-11-14
 COLORADO             | F      | 1987-07-18
 COLORADO             | F      | 1953-03-09
 COLORADO             | F      | 1953-03-09
 COLORADO             | F      | 1955-06-10
 COLORADO             | M      | 1972-12-18
 COLORADO             | M      | 1973-12-30
 COLORADO             | F      | 1956-12-07
 COLORADO             | F      | 1913-10-01
 COLORADO             | F      | 1979-11-10
 COLORADO             | F      | 1987-07-27
 COLORADO             | F      | 1987-07-27
 COLORADO             | F      | 1988-01-01
 COLORADO             | F      | 1992-12-08
 COLORADO             | M      | 1952-08-09
 COLORADO             | M      | 1952-08-09
 COLORADO             | F      | 1988-01-01
 COLORADO             | F      | 1986-05-27
 COLORADO             | F      | 1977-06-11
 COLORADO             | F      | 1986-03-18
 COLORADO             | F      | 1986-03-18
 COLORADO             | F      | 1977-06-11
 COLORADO             | F      | 1970-05-13
 COLORADO             | F      | 1967-11-25
 COLORADO             | M      | 1973-06-25
 COLORADO             | M      | 1973-06-25
 COLORADO             | F      | 1976-02-25
 COLORADO             | M      | 1978-06-08
 COLORADO             | F      | 1976-02-25
 COLORADO             | M      | 1972-10-22
 COLORADO             | M      | 1972-10-22
 COLORADO             | F      | 1958-06-11
 COLORADO             | F      | 1989-08-31
 COLORADO             | F      | 1989-08-31
 COLORADO             | M      | 1988-07-28
 COLORADO             | M      | 1985-08-27
 COLORADO             | F      | 1982-02-21
 COLORADO             | M      | 1988-07-28
 COLORADO             | M      | 1990-04-03
 COLORADO             | M      | 1990-04-03
 COLORADO             | M      | 1989-05-07
 DELAWARE             | M      | 1985-08-27
 DELAWARE             | F      | 1996-04-16
 DISTRICT OF COLUMBIA | F      | 1958-06-11
 FLORIDA              | M      | 1985-11-13
 FLORIDA              | M      | 1973-02-03
 FLORIDA              | M      | 1973-02-03
 FLORIDA              | F      | 1958-07-26
 FLORIDA              | F      | 1981-06-17
 GEORGIA              | F      | 1965-06-04
 GEORGIA              | F      | 1990-06-14
 GEORGIA              | M      | 1982-01-08
 GEORGIA              | M      | 1959-03-23
 GEORGIA              | F      | 1965-06-04
 ILLINOIS             | F      | 1993-09-18
 ILLINOIS             | M      | 1971-01-30
 ILLINOIS             | M      | 1974-10-12
 ILLINOIS             | M      | 1974-10-12
 ILLINOIS             | M      | 1976-04-02
 ILLINOIS             | M      | 1959-01-22
 ILLINOIS             | M      | 1959-01-22
 ILLINOIS             | M      | 1969-01-01
 ILLINOIS             | F      | 1983-06-26
 ILLINOIS             | F      | 1963-02-25
 ILLINOIS             | M      | 1976-04-02
 ILLINOIS             | M      | 1982-01-08
 ILLINOIS             | F      | 1987-08-14
 ILLINOIS             | F      | 1958-10-10
 ILLINOIS             | M      | 1987-06-30
 ILLINOIS             | M      | 1970-12-16
 ILLINOIS             | F      | 1991-10-16
 ILLINOIS             | F      | 1993-09-18
 ILLINOIS             | F      | 1958-10-10
 ILLINOIS             | F      | 1958-10-10
 ILLINOIS             | M      | 1965-12-27
 ILLINOIS             | F      | 1955-12-27
 ILLINOIS             | F      | 1980-07-29
 ILLINOIS             | F      | 1963-05-08
 ILLINOIS             | M      | 1972-09-19
 INDIANA              | F      | 1940-01-28
 IOWA                 | F      | 1977-06-17
 IOWA                 | F      | 1961-07-24
 IOWA                 | M      | 1991-11-06
 IOWA                 | M      | 1991-11-06
 IOWA                 | F      | 1978-01-02
 IOWA                 | F      | 1986-02-09
 IOWA                 | F      | 1978-07-24
 IOWA                 | M      | 1975-01-15
 IOWA                 | M      | 1975-01-15
 IOWA                 | F      | 1957-01-19
 IOWA                 | F      | 1961-06-28
 IOWA                 | F      | 1961-06-28
 IOWA                 | M      | 1950-05-04
 IOWA                 | M      | 1950-05-04
 IOWA                 | F      | 1985-09-16
 IOWA                 | M      | 1982-05-29
 IOWA                 | F      | 1962-07-28
 IOWA                 | F      | 1959-07-28
 IOWA                 | F      | 1959-07-28
 IOWA                 | M      | 1989-11-05
 IOWA                 | M      | 1989-11-05
 IOWA                 | M      | 1973-06-25
 IOWA                 | F      | 1977-06-17
 IOWA                 | M      | 1985-05-11
 IOWA                 | F      | 1986-02-07
 IOWA                 | M      | 1985-01-05
 IOWA                 | M      | 1973-04-17
 IOWA                 | M      | 1978-01-12
 IOWA                 | F      | 1975-11-25
 IOWA                 | F      | 1975-11-25
 IOWA                 | M      | 1980-10-14
 IOWA                 | M      | 1980-10-14
 KANSAS               | F      | 1984-11-13
 KANSAS               | M      | 1989-05-24
 KANSAS               | F      | 1975-03-10
 KANSAS               | M      | 1992-05-11
 KANSAS               | M      | 1992-05-11
 KANSAS               | F      | 1976-06-03
 KANSAS               | F      | 1969-02-14
 KANSAS               | F      | 1975-03-10
 KANSAS               | F      | 1986-09-26
 KANSAS               | F      | 1954-01-23
 KANSAS               | F      | 1940-12-11
 KANSAS               | F      | 1975-03-10
 KANSAS               | M      | 1977-07-16
 KANSAS               | M      | 1977-07-16
 KANSAS               | F      | 1985-09-23
 KANSAS               | M      | 1986-02-20
 KANSAS               | M      | 1986-02-20
 KANSAS               | M      | 1949-06-22
 KANSAS               | F      | 1979-09-08
 KANSAS               | M      | 1988-01-03
 KANSAS               | M      | 1988-01-03
 KANSAS               | M      | 1988-01-03
 KANSAS               | F      | 1963-06-18
 KANSAS               | F      | 1959-02-17
 KANSAS               | M      | 1975-10-01
 KANSAS               | F      | 1959-02-17
 KANSAS               | F      | 1965-04-25
 KANSAS               | F      | 1979-09-08
 KANSAS               | M      | 1989-05-24
 KANSAS               | F      | 1976-10-20
 KANSAS               | M      | 1949-06-22
 KANSAS               | F      | 1974-08-05
 KANSAS               | M      | 1985-11-13
 KANSAS               | F      | 1974-08-05
 KANSAS               | M      | 1988-11-01
 KANSAS               | F      | 1974-08-05
 KANSAS               | F      | 1984-01-31
 KANSAS               | M      | 1979-06-20
 KANSAS               | F      | 1976-01-14
 KANSAS               | F      | 1976-01-14
 KANSAS               | F      | 1984-06-04
 KANSAS               | F      | 1981-09-20
 KANSAS               | M      | 1980-04-26
 KANSAS               | M      | 1980-04-26
 KANSAS               | M      | 1977-04-10
 KANSAS               | F      | 1949-07-12
 KANSAS               | M      | 1954-08-03
 KANSAS               | M      | 1977-06-22
 KANSAS               | M      | 1977-06-22
 KANSAS               | M      | 1986-11-09
 KANSAS               | F      | 1976-10-20
 KANSAS               | F      | 1959-03-25
 KANSAS               | F      | 1984-06-04
 KANSAS               | M      | 1954-08-03
 KANSAS               | F      | 1974-12-27
 KANSAS               | F      | 1955-08-21
 KANSAS               | F      | 1966-10-09
 KANSAS               | F      | 1949-07-12
 KANSAS               | F      | 1965-02-02
 KANSAS               | F      | 1965-02-02
 KANSAS               | F      | 1949-07-12
 KANSAS               | M      | 1977-04-10
 KANSAS               | F      | 1949-07-12
 KANSAS               | M      | 1952-07-30
 KANSAS               | M      | 1978-09-12
 KANSAS               | M      | 1978-09-01
 KANSAS               | F      | 1982-04-05
 KANSAS               | F      | 1985-07-01
 KANSAS               | M      | 1977-04-10
 KANSAS               | M      | 1985-04-30
 KANSAS               | M      | 1981-08-09
 KANSAS               | F      | 1940-12-11
 KANSAS               | F      | 1978-02-20
 KANSAS               | F      | 1993-03-20
 KANSAS               | M      | 1952-08-09
 KANSAS               | M      | 1969-02-02
 KANSAS               | M      | 1969-02-02
 KANSAS               | M      | 1984-03-19
 KANSAS               | M      | 1995-10-17
 KANSAS               | F      | 1974-05-17
 KANSAS               | F      | 1974-05-17
 KANSAS               | M      | 1977-09-06
 KANSAS               | M      | 1990-09-21
 KANSAS               | M      | 1996-01-26
 KANSAS               | M      | 1996-01-26
 KANSAS               | M      | 1990-09-21
 KANSAS               | F      | 1988-11-18
 KANSAS               | F      | 1988-11-18
 KANSAS               | F      | 1952-09-29
 KANSAS               | F      | 1981-09-20
 KANSAS               | M      | 1987-06-12
 KANSAS               | F      | 1963-05-21
 KANSAS               | M      | 1987-06-12
 KANSAS               | F      | 1949-05-28
 KANSAS               | F      | 1976-02-24
 KANSAS               | F      | 1976-02-24
 KANSAS               | F      | 1966-12-12
 KANSAS               | F      | 1992-09-07
 KANSAS               | M      | 1977-02-11
 KANSAS               | F      | 1995-09-14
 KANSAS               | F      | 1954-07-14
 KANSAS               | F      | 1976-09-06
 KANSAS               | F      | 1975-08-26
 KANSAS               | F      | 1995-09-14
 KANSAS               | M      | 1977-02-11
 KANSAS               | F      | 1949-07-24
 KANSAS               | F      | 1983-11-08
 KANSAS               | F      | 1983-11-08
 KANSAS               | M      | 1981-03-24
 KANSAS               | F      | 1989-10-10
 KANSAS               | M      | 1955-01-02
 KANSAS               | M      | 1984-01-23
 KANSAS               | F      | 1982-09-15
 KANSAS               | M      | 1986-04-05
 KANSAS               | F      | 1992-01-03
 KANSAS               | M      | 1981-12-07
 KANSAS               | F      | 1974-08-17
 KANSAS               | F      | 1974-08-17
 KANSAS               | M      | 1980-08-24
 KANSAS               | M      | 1980-08-24
 KANSAS               | F      | 1974-11-29
 KANSAS               | F      | 1991-03-22
 KANSAS               | F      | 1978-08-25
 KANSAS               | F      | 1992-08-11
 KANSAS               | F      | 1974-11-29
 KANSAS               | F      | 1978-08-25
 KANSAS               | F      | 1947-07-23
 KANSAS               | F      | 1974-11-29
 KANSAS               | F      | 1953-11-01
 KANSAS               | F      | 1990-09-01
 KANSAS               | F      | 1990-09-01
 KANSAS               | F      | 1980-08-14
 KANSAS               | F      | 1980-08-14
 KANSAS               | F      | 1980-08-14
 KANSAS               | F      | 1980-08-14
 KANSAS               | M      | 1952-11-01
 KANSAS               | F      | 1989-10-10
 KANSAS               | F      | 1954-06-04
 KANSAS               | F      | 1966-05-06
 KANSAS               | F      | 1966-05-06
 KANSAS               | F      | 1984-01-31
 KANSAS               | M      | 1980-03-10
 KANSAS               | F      | 1988-03-08
 KANSAS               | M      | 1971-02-03
 KANSAS               | M      | 1967-06-02
 KANSAS               | M      | 1967-06-02
 KANSAS               | F      | 1983-04-30
 KANSAS               | F      | 1983-04-30
 KANSAS               | F      | 1983-04-30
 KANSAS               | M      | 1963-12-29
 KANSAS               | F      | 1996-07-09
 KANSAS               | M      | 1959-12-05
 KANSAS               | M      | 1981-12-21
 KANSAS               | M      | 1981-12-21
 KENTUCKY             | M      | 1990-01-12
 KENTUCKY             | M      | 1995-06-08
 KENTUCKY             | M      | 1990-01-12
 KENTUCKY             | M      | 1995-06-08
 LOUISIANA            | F      | 1991-03-10
 LOUISIANA            | M      | 1969-01-01
 LOUISIANA            | F      | 1967-08-10
 LOUISIANA            | M      | 1969-01-01
 LOUISIANA            | F      | 1967-08-10
 LOUISIANA            | F      | 1991-03-10
 MAINE                | M      | 1959-03-23
 MARYLAND             | M      | 1996-03-17
 MASSACHUSETTES       | M      | 1972-08-29
 MASSACHUSETTES       | F      | 1974-05-17
 MASSACHUSETTES       | M      | 1957-05-22
 MASSACHUSETTES       | M      | 1957-05-22
 MASSACHUSETTES       | F      | 1963-02-25
 MASSACHUSETTES       | F      | 1975-08-14
 MASSACHUSETTES       | F      | 1963-02-25
 MASSACHUSETTES       | F      | 1984-09-15
 MASSACHUSETTES       | F      | 1985-07-01
 MASSACHUSETTES       | F      | 1975-08-14
 MASSACHUSETTES       | F      | 1985-07-01
 MICHIGAN             | M      | 1972-12-13
 MICHIGAN             | F      | 1985-03-16
 MICHIGAN             | F      | 1982-01-16
 MINNESOTA            | F      | 1970-02-01
 MISSISSIPPI          | M      | 1967-07-25
 MISSOURI             | F      | 1982-09-15
 MISSOURI             | M      | 1981-10-29
 MISSOURI             | M      | 1983-11-08
 MISSOURI             | M      | 1972-12-18
 MISSOURI             | M      | 1972-12-18
 MISSOURI             | M      | 1972-12-18
 MISSOURI             | M      | 1972-12-18
 MISSOURI             | M      | 1981-03-24
 MISSOURI             | M      | 1985-04-30
 MISSOURI             | F      | 1979-02-14
 MISSOURI             | M      | 1987-09-21
 MISSOURI             | F      | 1971-03-13
 MISSOURI             | M      | 1976-04-02
 MISSOURI             | F      | 1961-01-19
 MISSOURI             | M      | 1983-10-03
 MISSOURI             | M      | 1983-10-03
 MISSOURI             | F      | 1980-03-13
 MISSOURI             | F      | 1984-10-14
 MISSOURI             | F      | 1984-06-04
 MISSOURI             | F      | 1984-06-04
 MISSOURI             | M      | 1983-10-06
 MISSOURI             | M      | 1982-10-25
 MISSOURI             | M      | 1984-09-18
 MISSOURI             | M      | 1984-09-18
 MISSOURI             | M      | 1967-06-02
 MISSOURI             | F      | 1989-11-12
 MISSOURI             | M      | 1984-03-19
 MISSOURI             | F      | 1982-04-05
 MISSOURI             | F      | 1958-07-26
 MISSOURI             | F      | 1951-10-24
 MISSOURI             | F      | 1951-10-24
 MISSOURI             | M      | 1981-07-22
 MISSOURI             | F      | 1975-03-01
 MISSOURI             | F      | 1988-02-10
 MISSOURI             | F      | 1988-02-10
 MISSOURI             | F      | 1973-08-10
 MISSOURI             | M      | 1949-10-18
 MISSOURI             | M      | 1949-10-18
 MISSOURI             | F      | 1958-07-26
 MISSOURI             | F      | 1984-06-04
 MISSOURI             | M      | 1961-06-01
 MISSOURI             | F      | 1955-08-21
 MISSOURI             | F      | 1986-05-27
 MISSOURI             | F      | 1989-11-30
 MISSOURI             | F      | 1979-03-24
 MISSOURI             | F      | 1990-01-01
 MISSOURI             | F      | 1990-01-01
 MISSOURI             | F      | 1963-05-13
 MISSOURI             | M      | 1974-07-04
 MISSOURI             | M      | 1974-07-04
 MISSOURI             | F      | 1987-01-26
 MISSOURI             | M      | 1983-11-01
 MISSOURI             | M      | 1971-03-03
 MISSOURI             | M      | 1971-01-30
 MISSOURI             | F      | 1984-06-04
 MISSOURI             | M      | 1978-09-12
 MISSOURI             | M      | 1978-09-12
 MISSOURI             | F      | 1988-11-02
 MISSOURI             | F      | 1988-11-02
 MISSOURI             | F      | 1988-11-02
 MISSOURI             | F      | 1978-11-09
 MISSOURI             | F      | 1978-11-09
 MISSOURI             | F      | 1991-03-22
 MISSOURI             | M      | 1974-10-31
 MISSOURI             | F      | 1983-09-27
 MISSOURI             | M      | 1987-09-21
 MISSOURI             | F      | 1987-04-09
 MISSOURI             | F      | 1987-04-09
 MISSOURI             | F      | 1978-01-10
 MISSOURI             | F      | 1972-09-17
 MISSOURI             | F      | 1972-09-17
 MISSOURI             | F      | 1956-12-07
 MISSOURI             | F      | 1981-09-20
 MISSOURI             | F      | 1981-09-20
 MISSOURI             | M      | 1972-10-13
 MISSOURI             | M      | 1972-10-13
 MISSOURI             | F      | 1961-06-28
 MISSOURI             | F      | 1961-06-28
 MISSOURI             | F      | 1991-03-22
 MISSOURI             | F      | 1983-09-01
 MISSOURI             | F      | 1983-09-01
 MISSOURI             | F      | 1968-04-22
 MISSOURI             | F      | 1968-04-22
 MISSOURI             | F      | 1968-04-22
 MISSOURI             | F      | 1968-04-22
 MISSOURI             | M      | 1989-05-07
 MISSOURI             | F      | 1984-11-13
 MISSOURI             | F      | 1984-11-13
 MISSOURI             | F      | 1989-08-31
 MISSOURI             | M      | 1988-08-09
 MISSOURI             | F      | 1981-06-29
 MISSOURI             | F      | 1981-06-29
 MISSOURI             | M      | 1972-12-13
 MISSOURI             | M      | 1979-09-04
 MISSOURI             | M      | 1979-09-04
 MISSOURI             | M      | 1979-09-04
 MISSOURI             | F      | 1990-05-23
 MISSOURI             | F      | 1990-05-23
 MISSOURI             | F      | 1984-04-18
 MISSOURI             | F      | 1984-04-18
 MISSOURI             | M      | 1988-11-14
 MISSOURI             | M      | 1978-07-12
 MISSOURI             | F      | 1988-03-17
 MISSOURI             | F      | 1988-03-17
 MISSOURI             | M      | 1972-10-22
 MISSOURI             | F      | 1963-05-19
 MISSOURI             | M      | 1980-04-26
 MISSOURI             | M      | 1975-02-02
 MISSOURI             | M      | 1982-08-30
 MISSOURI             | M      | 1982-08-30
 MISSOURI             | F      | 1989-12-17
 MISSOURI             | F      | 1989-12-17
 MISSOURI             | F      | 1989-12-17
 MISSOURI             | F      | 1974-12-27
 MISSOURI             | M      | 1985-11-14
 MISSOURI             | F      | 1988-01-05
 MISSOURI             | F      | 1988-01-05
 MISSOURI             | F      | 1973-11-11
 MISSOURI             | F      | 1973-11-11
 MISSOURI             | M      | 1981-08-09
 MISSOURI             | M      | 1981-08-09
 MISSOURI             | F      | 1954-01-06
 MISSOURI             | F      | 1954-01-06
 MISSOURI             | F      | 1958-06-11
 MISSOURI             | F      | 1987-07-27
 MISSOURI             | F      | 1960-07-17
 MISSOURI             | M      | 1972-06-03
 MISSOURI             | F      | 1988-11-18
 MISSOURI             | F      | 1988-11-18
 MISSOURI             | M      | 1986-11-09
 MISSOURI             | M      | 1965-05-16
 MISSOURI             | M      | 1965-05-16
 MISSOURI             | F      | 1976-02-24
 MISSOURI             | F      | 1976-02-24
 MISSOURI             | F      | 1986-02-07
 MISSOURI             | F      | 1976-01-11
 MISSOURI             | F      | 1976-01-11
 MISSOURI             | F      | 1983-11-08
 MISSOURI             | F      | 1983-11-08
 MISSOURI             | M      | 1987-08-01
 MISSOURI             | M      | 1955-01-02
 MISSOURI             | M      | 1980-08-24
 MISSOURI             | M      | 1980-08-24
 MISSOURI             | F      | 1992-08-11
 MISSOURI             | F      | 1954-04-02
 MISSOURI             | M      | 1974-08-25
 MISSOURI             | F      | 1987-11-24
 MISSOURI             | F      | 1968-06-27
 MISSOURI             | F      | 1968-06-27
 MISSOURI             | F      | 1968-06-27
 MISSOURI             | M      | 1990-04-15
 MISSOURI             | M      | 1950-07-10
 MISSOURI             | M      | 1950-07-10
 MISSOURI             | M      | 1950-07-10
 MISSOURI             | M      | 1992-05-11
 MISSOURI             | M      | 1980-10-14
 MISSOURI             | F      | 1989-07-04
 MISSOURI             | F      | 1954-08-28
 MISSOURI             | F      | 1954-08-28
 MISSOURI             | M      | 1950-10-22
 MISSOURI             | M      | 1950-10-22
 MISSOURI             | M      | 1950-10-22
 MISSOURI             | M      | 1971-01-13
 MISSOURI             | M      | 1971-01-13
 MISSOURI             | M      | 1976-04-17
 MISSOURI             | M      | 1976-04-17
 MISSOURI             | F      | 1967-03-23
 MISSOURI             | F      | 1967-03-23
 MISSOURI             | M      | 1981-10-29
 MISSOURI             | M      | 1981-10-29
 MISSOURI             | F      | 1984-08-28
 MISSOURI             | F      | 1984-08-28
 MISSOURI             | F      | 1951-08-16
 MISSOURI             | F      | 1951-08-16
 MISSOURI             | F      | 1951-08-16
 MISSOURI             | F      | 1958-02-20
 MISSOURI             | F      | 1958-02-20
 MISSOURI             | F      | 1970-05-13
 MISSOURI             | F      | 1983-10-05
 MISSOURI             | F      | 1986-11-22
 MISSOURI             | F      | 1986-11-22
 MISSOURI             | F      | 1975-08-26
 MISSOURI             | F      | 1975-08-26
 MISSOURI             | F      | 1945-11-15
 MISSOURI             | F      | 1945-11-15
 MISSOURI             | F      | 1945-11-15
 MISSOURI             | F      | 1945-11-15
 MISSOURI             | F      | 1905-09-30
 MISSOURI             | F      | 1905-09-30
 MISSOURI             | F      | 1986-02-09
 MISSOURI             | F      | 1986-02-09
 MISSOURI             | M      | 1985-01-14
 MISSOURI             | F      | 1965-02-02
 MISSOURI             | F      | 1978-04-28
 MISSOURI             | M      | 1977-07-16
 MISSOURI             | M      | 1963-02-15
 MISSOURI             | M      | 1981-12-21
 MISSOURI             | M      | 1981-12-21
 MISSOURI             | F      | 1986-03-21
 MISSOURI             | F      | 1986-03-21
 MISSOURI             | M      | 1985-12-18
